,time,volume,mid_o,mid_h,mid_l,mid_c,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c
0,2018-01-01 22:00:00-05:00,35630,1.20039,1.20812,1.20019,1.2058,1.20009,1.20806,1.19975,1.2055,1.20069,1.20819,1.20051,1.2061
1,2018-01-02 22:00:00-05:00,31354,1.2058,1.20666,1.2001,1.20144,1.2055,1.20658,1.20002,1.20119,1.2061,1.20673,1.20018,1.2017
2,2018-01-03 22:00:00-05:00,35187,1.20144,1.2089,1.20042,1.20683,1.20119,1.20884,1.20034,1.20656,1.2017,1.20897,1.20049,1.2071
3,2018-01-04 22:00:00-05:00,36478,1.20683,1.20834,1.20208,1.20297,1.20656,1.20822,1.202,1.20267,1.2071,1.20847,1.20215,1.20327
4,2018-01-07 22:00:00-05:00,27618,1.20297,1.20522,1.19558,1.19687,1.20267,1.20515,1.19551,1.19657,1.20327,1.2053,1.19564,1.19717
5,2018-01-08 22:00:00-05:00,30682,1.19687,1.19756,1.19159,1.19369,1.19657,1.19748,1.19152,1.19343,1.19717,1.19763,1.19165,1.19395
6,2018-01-09 22:00:00-05:00,53721,1.19369,1.20182,1.19235,1.19474,1.19343,1.20175,1.19228,1.19449,1.19395,1.20188,1.19242,1.19499
7,2018-01-10 22:00:00-05:00,56416,1.19474,1.20592,1.19295,1.2032,1.19449,1.20585,1.19289,1.20296,1.19499,1.20599,1.19301,1.20345
8,2018-01-11 22:00:00-05:00,72621,1.2032,1.22193,1.20308,1.21968,1.20296,1.22183,1.20285,1.21938,1.20345,1.22203,1.20316,1.21998
9,2018-01-14 22:00:00-05:00,58122,1.21968,1.22968,1.21878,1.22636,1.21938,1.22962,1.21871,1.22609,1.21998,1.22976,1.21885,1.22664
10,2018-01-15 22:00:00-05:00,62083,1.22636,1.22832,1.21952,1.22607,1.22609,1.22823,1.21945,1.22582,1.22664,1.22841,1.21959,1.22632
11,2018-01-16 22:00:00-05:00,79900,1.22607,1.2323,1.21776,1.21854,1.22582,1.23221,1.21765,1.21824,1.22632,1.2324,1.21784,1.21884
12,2018-01-17 22:00:00-05:00,62278,1.21854,1.2265,1.21653,1.2239,1.21824,1.22643,1.21642,1.22363,1.21884,1.22658,1.21664,1.22416
13,2018-01-18 22:00:00-05:00,63825,1.2239,1.22954,1.22152,1.22211,1.22363,1.22947,1.22133,1.22181,1.22416,1.22961,1.22159,1.22241
14,2018-01-21 22:00:00-05:00,46154,1.22211,1.22743,1.22141,1.22614,1.22181,1.22713,1.22134,1.22587,1.22241,1.22773,1.22148,1.2264
15,2018-01-22 22:00:00-05:00,54615,1.22614,1.23062,1.2223,1.2299,1.22587,1.23055,1.22224,1.22965,1.2264,1.23069,1.22237,1.23014
16,2018-01-23 22:00:00-05:00,77439,1.2299,1.24154,1.22914,1.2408,1.22965,1.24146,1.22889,1.24053,1.23014,1.24161,1.22938,1.24107
17,2018-01-24 22:00:00-05:00,177246,1.2408,1.25374,1.23642,1.2398,1.24053,1.25366,1.23634,1.2395,1.24107,1.25384,1.2365,1.2401
18,2018-01-25 22:00:00-05:00,107812,1.2398,1.2494,1.23699,1.24296,1.2395,1.24932,1.23684,1.24266,1.2401,1.24949,1.23714,1.24326
19,2018-01-28 22:00:00-05:00,75291,1.24296,1.24324,1.2337,1.23827,1.24266,1.24316,1.23361,1.23797,1.24326,1.24331,1.23378,1.23857
20,2018-01-29 22:00:00-05:00,79856,1.23827,1.24543,1.23349,1.24024,1.23797,1.24536,1.23339,1.23998,1.23857,1.2455,1.23359,1.24051
21,2018-01-30 22:00:00-05:00,102596,1.24024,1.24748,1.2387,1.24138,1.23998,1.24743,1.23863,1.24113,1.24051,1.24754,1.23878,1.24162
22,2018-01-31 22:00:00-05:00,83787,1.24138,1.25233,1.23849,1.25079,1.24113,1.25222,1.23841,1.25049,1.24162,1.25244,1.23857,1.25109
23,2018-02-01 22:00:00-05:00,96966,1.25079,1.25184,1.24092,1.24566,1.25049,1.25177,1.24084,1.24536,1.25109,1.2519,1.241,1.24596
24,2018-02-04 22:00:00-05:00,101428,1.24566,1.2475,1.23625,1.23671,1.24536,1.24743,1.23614,1.23641,1.24596,1.24756,1.23636,1.23701
25,2018-02-05 22:00:00-05:00,133358,1.23671,1.24346,1.23138,1.2377,1.23641,1.24337,1.23131,1.2374,1.23701,1.24355,1.23145,1.238
26,2018-02-06 22:00:00-05:00,75446,1.2377,1.24064,1.2246,1.2263,1.2374,1.24056,1.22451,1.226,1.238,1.24073,1.2247,1.2266
27,2018-02-07 22:00:00-05:00,104899,1.2263,1.2295,1.22122,1.2247,1.226,1.22943,1.22115,1.22443,1.2266,1.22958,1.22128,1.22497
28,2018-02-08 22:00:00-05:00,98355,1.2247,1.22871,1.2206,1.22512,1.22443,1.22863,1.22051,1.22482,1.22497,1.22879,1.22067,1.22542
29,2018-02-11 22:00:00-05:00,53579,1.22512,1.22978,1.22352,1.22912,1.22482,1.22968,1.22346,1.22887,1.22542,1.22992,1.22358,1.22936
30,2018-02-12 22:00:00-05:00,55988,1.22912,1.23711,1.22844,1.23521,1.22887,1.23704,1.22836,1.23494,1.22936,1.23718,1.22852,1.23548
31,2018-02-13 22:00:00-05:00,93162,1.23521,1.24654,1.2276,1.24505,1.23494,1.24645,1.22748,1.24475,1.23548,1.24662,1.22768,1.24535
32,2018-02-14 22:00:00-05:00,76999,1.24505,1.25108,1.24483,1.25066,1.24475,1.251,1.24474,1.25038,1.24535,1.25115,1.24492,1.25094
33,2018-02-15 22:00:00-05:00,76751,1.25066,1.2556,1.23936,1.24097,1.25038,1.2555,1.23928,1.24067,1.25094,1.25572,1.23944,1.24127
34,2018-02-18 22:00:00-05:00,48999,1.24097,1.24354,1.23691,1.24074,1.24067,1.24346,1.23684,1.2405,1.24127,1.24361,1.23698,1.24098
35,2018-02-19 22:00:00-05:00,63494,1.24074,1.24123,1.23197,1.23372,1.2405,1.24113,1.23189,1.23348,1.24098,1.24144,1.23204,1.23395
36,2018-02-20 22:00:00-05:00,81535,1.23372,1.236,1.22812,1.22854,1.23348,1.23593,1.22804,1.22824,1.23395,1.23608,1.22818,1.22884
37,2018-02-21 22:00:00-05:00,63036,1.22854,1.23524,1.22596,1.23314,1.22824,1.23517,1.22588,1.2329,1.22884,1.23532,1.22604,1.23339
38,2018-02-22 22:00:00-05:00,48786,1.23314,1.23376,1.228,1.22957,1.2329,1.23365,1.22795,1.22927,1.23339,1.23388,1.22805,1.22987
39,2018-02-25 22:00:00-05:00,51392,1.22957,1.2355,1.22776,1.23176,1.22927,1.23544,1.22768,1.23151,1.22987,1.23558,1.22783,1.23202
40,2018-02-26 22:00:00-05:00,68726,1.23176,1.23464,1.22218,1.22333,1.23151,1.23456,1.22211,1.22309,1.23202,1.23472,1.22226,1.22357
41,2018-02-27 22:00:00-05:00,58761,1.22333,1.22415,1.21874,1.21946,1.22309,1.22407,1.21865,1.21923,1.22357,1.22423,1.21882,1.21968
42,2018-02-28 22:00:00-05:00,77199,1.21946,1.22736,1.21542,1.22666,1.21923,1.22727,1.21535,1.22637,1.21968,1.22745,1.2155,1.22695
